danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
0.797,0.498,,0.325,0.457,0.0,0.113,0.653,120.027,rap
0.813,0.884,-4.817,0.119,0.128,,0.122,0.646,,rap
0.758,,,,0.491,0.0,0.207,0.837,,rap
0.749,,-5.743,0.101,0.246,0.000231,0.229,0.632,74.974,rap
0.731,,-8.384,0.0432,0.226,,0.196,0.508,138.055,rap
0.609,0.706,-3.077,0.0624,0.663,,0.16,0.356,129.6,rap
0.849,0.521,,0.236,0.199,1.28e-06,0.108,,,rap
,,-6.4,0.252,0.15,6.1e-06,0.0916,,,rap
0.8,,,0.0597,0.436,4.91e-05,0.634,0.493,,rap
0.779,0.688,-4.905,0.0648,0.431,,,0.563,139.84,rap
,0.523,-7.5,0.419,0.228,0.0,0.0895,0.378,89.912,rap
0.942,0.808,-5.317,0.119,0.073,,0.0935,0.444,98.978,rap
0.626,0.753,-4.5,0.0676,0.0533,0.000159,,0.55,160.006,rap
,0.611,-6.966,,0.0712,3.08e-06,0.101,0.328,100.976,rap
0.913,,-3.136,0.129,0.00472,,0.361,0.869,129.013,rap
0.929,0.547,,0.143,0.199,,0.337,0.933,141.97,rap
0.846,0.792,-6.453,0.0383,0.348,0.00965,,0.579,135.998,rap
,0.629,,0.103,0.22,,0.425,0.37,134.999,rap
0.769,0.867,,0.166,0.386,0.0,0.126,,130.165,rap
0.695,0.522,,0.321,0.192,9.94e-05,0.0816,,,rap
0.897,,-6.574,0.108,0.025,1.12e-06,0.118,0.336,144.978,rap
0.774,,-7.717,0.0847,0.284,0.371,0.153,0.334,89.999,rap
0.887,0.627,-6.989,0.254,0.136,0.00288,0.0914,0.53,,rap
,0.68,-5.392,0.119,0.361,0.0,0.1,0.519,140.041,rap
0.962,0.221,-10.071,0.14,0.0521,5.07e-06,0.15,0.656,128.019,rap
0.752,0.64,-7.286,0.113,0.294,0.0,0.126,,116.923,rap
0.812,,,0.107,0.153,0.0,0.122,0.616,150.009,rap
0.882,0.574,-7.121,0.197,0.228,0.0,0.159,0.609,134.98,rap
0.796,0.817,-4.291,0.0633,0.523,0.0,0.344,0.68,129.987,rap
0.882,0.777,-4.445,0.0504,0.354,0.0,0.135,0.533,,rap
0.945,0.565,-6.194,0.159,0.113,6.92e-06,0.0686,,,rap
,,-7.739,0.299,0.627,0.000202,0.0961,0.248,160.007,rap
0.877,,,0.167,0.0608,0.0,0.0924,0.378,,rap
0.796,0.683,-2.754,0.15,0.108,0.0,,,140.108,rap
0.849,0.56,,0.344,0.181,3.29e-06,0.223,0.299,130.924,rap
0.82,0.779,,0.196,0.0221,,0.078,0.717,141.998,rap
0.718,0.529,-5.668,,0.228,,0.222,0.682,82.594,rap
0.641,0.652,-8.575,0.264,0.42,1.74e-06,0.094,,175.022,rap
0.71,0.798,,0.0442,0.193,0.0,0.209,0.503,126.974,rap
0.762,0.869,,,0.194,0.0,0.0798,0.547,86.011,rap
0.818,,,0.0463,0.192,0.0,0.0927,0.729,133.01,rap
0.917,0.536,,0.289,0.142,0.0,0.122,0.657,129.011,rap
,0.487,-9.718,0.276,0.802,0.0,0.118,0.475,139.901,rap
,0.562,-6.739,0.0641,0.477,0.0,0.0649,0.58,127.053,rap
0.702,0.642,-9.031,,0.142,0.000468,0.525,,180.089,rap
,,-7.418,0.104,0.0693,,0.0895,0.217,82.265,rap
0.399,,-4.291,0.417,0.223,4.99e-06,0.383,0.486,149.263,rap
0.512,0.877,-5.548,0.574,0.711,0.0,,0.317,,rap
0.621,,,0.277,0.148,1.38e-06,0.158,0.47,141.996,rap
,0.763,,0.0353,0.017,0.0,0.12,0.105,114.971,rap
0.47,0.644,,0.0392,0.183,0.0,0.0945,,148.01,rap
0.526,0.912,-5.816,0.0848,0.129,,0.328,0.339,145.043,rap
0.575,,,,0.00468,0.00229,0.14,0.107,116.042,rap
0.455,0.897,-3.068,0.0883,0.0245,0.649,0.222,0.25,,rap
0.305,0.683,-5.9,0.105,0.0478,0.867,0.228,0.326,,rap
0.549,0.819,-6.068,0.051,3.18e-05,0.756,0.0886,0.301,99.99,rap
,,-5.558,,0.0977,0.0,0.328,0.381,149.935,rap
0.373,0.813,-3.831,0.0952,0.0492,0.0,0.163,0.207,,rap
0.614,,,0.051,0.0192,0.427,0.117,0.45,140.006,rap
0.5,0.609,,0.0945,0.00774,,0.332,0.15,163.94,rap
0.494,0.777,-6.716,0.0546,0.00153,5.35e-05,0.123,0.26,92.027,rap
0.621,0.889,-6.393,0.0382,0.0134,0.41,0.15,0.155,125.995,rap
0.428,,-9.295,0.0455,0.261,0.000495,0.0934,,155.017,rap
0.604,,-8.101,0.0315,0.0147,0.000733,,0.123,108.021,rap
0.892,0.592,-9.991,0.145,0.391,,0.0903,,,rap
0.798,,-4.321,0.03,0.46,7.37e-06,0.157,0.314,110.025,rap
0.636,,,0.05,0.0439,0.0101,0.0935,0.119,121.057,rap
0.453,0.616,-9.329,0.0456,0.0304,0.000105,0.172,,,rap
0.538,,-6.098,0.0443,0.0672,0.317,,0.252,159.98,rap
0.522,,-5.971,0.0499,0.112,0.0,0.101,,159.778,rap
0.457,0.67,-4.859,0.0815,0.276,4.81e-06,0.105,0.267,150.093,rap
,,-4.912,0.0637,0.000245,0.847,,0.273,149.994,rap
0.315,0.77,-3.913,0.0929,0.454,0.0,0.122,0.433,140.095,rap
0.367,0.742,-5.827,0.0352,0.0851,0.804,,0.223,149.937,rap
0.5,0.586,,0.283,0.605,0.0124,0.194,,160.179,rap
0.505,0.784,-4.587,0.0372,0.00541,,,,77.452,rap
0.693,,-7.469,0.058,,0.00325,0.105,0.252,131.986,rap
0.662,0.653,-6.152,0.0526,0.19,2.65e-05,0.117,,137.985,rap
0.543,0.58,-7.065,0.241,0.797,,0.113,0.343,81.738,rap
0.283,0.782,-6.243,,0.0189,0.0238,0.0994,0.0807,150.306,rap
0.701,0.682,,0.205,0.0285,0.00319,0.332,0.267,100.029,rap
,,-5.973,0.056,0.159,0.0157,0.155,0.132,70.515,rap
0.541,0.51,-4.282,0.0644,0.0142,,0.0967,0.226,147.143,rap
0.591,0.826,-8.347,0.113,0.00569,0.000266,0.0751,0.33,145.029,rap
0.527,,-5.023,0.035,0.407,,0.101,0.114,92.986,rap
0.545,0.862,-4.686,,0.0155,0.00319,0.363,0.678,164.93,rap
0.634,0.495,-7.631,0.0483,0.00332,0.0426,0.211,0.217,,rap
0.366,,-3.434,0.0684,0.129,0.000177,0.295,,170.178,rap
0.439,,,0.0356,0.157,1.57e-06,0.472,0.166,149.889,rap
0.564,0.669,-2.579,0.421,0.3,0.00346,0.127,0.465,,rap
,0.723,-6.496,0.0467,0.0495,0.0,0.186,,170.008,rap
0.41,0.814,-6.563,0.102,0.0129,0.000326,0.0782,0.471,139.939,rap
0.595,0.792,-4.037,0.0675,0.0023,0.0007,0.182,0.338,130.035,rap
0.513,,,0.0617,0.00168,0.346,0.129,0.23,160.061,rap
0.452,0.634,-5.627,0.141,0.495,,0.143,0.198,80.036,rap
0.594,0.857,-6.441,0.0423,0.126,0.729,0.111,0.0581,102.882,rap
0.401,0.308,-12.464,0.117,0.389,,0.143,0.205,147.314,rap
0.35,0.679,-6.349,0.0566,0.00142,0.0,0.124,0.2,149.902,rap
0.582,0.587,,0.035,0.265,0.0,0.0998,0.313,75.026,rap
0.611,0.393,,0.144,0.292,,0.112,0.167,80.006,rap
0.411,,-3.024,0.0404,0.138,4.64e-05,0.0789,0.149,179.963,rap
0.556,0.562,-7.141,0.0859,0.204,,0.126,0.115,80.093,rap
0.537,,,0.0385,0.132,0.0,0.104,0.228,,rap
0.495,0.926,-3.333,0.0556,0.0126,,0.263,0.523,,rap
0.551,0.622,-8.823,0.109,0.00805,0.0402,0.703,0.0739,180.165,rap
0.598,,-4.399,,0.00958,0.0013,0.106,0.183,92.072,rap
0.566,0.767,-6.15,,0.106,0.0,0.0862,,,rap
0.544,0.924,-3.094,0.0443,0.00154,,0.136,0.28,160.039,rap
0.619,0.697,-4.103,0.163,0.122,0.00214,0.303,0.523,,rap
0.526,,-7.79,0.0513,0.0286,0.02,0.377,0.172,146.055,rap
,,-3.477,0.15,0.0389,3.49e-06,0.111,0.276,150.142,rap
0.44,0.71,-6.093,0.131,0.567,0.000196,0.212,,93.147,rap
0.7,0.702,-8.066,0.0336,,0.666,0.0519,0.129,,rap
,0.76,,0.0709,0.0354,0.0,0.174,0.232,171.777,rap
0.709,0.729,,0.0337,0.00689,0.000152,0.0938,,129.968,rap
0.521,,-5.268,0.0455,0.00922,0.634,0.349,0.112,140.028,rap
,,-5.921,0.202,0.0592,0.000951,0.137,0.134,,rap
0.702,0.801,-5.239,0.0928,,9.89e-05,0.0934,0.236,127.976,rap
0.43,,-4.934,0.0369,0.587,0.0,0.179,0.576,82.017,rap
0.472,0.605,-4.437,0.134,0.0311,0.0308,0.101,0.212,128.375,rap
0.623,0.494,-7.521,0.0618,0.147,0.0,0.275,0.26,115.132,rap
0.489,0.757,-5.229,0.066,0.116,,0.754,,89.944,rap
,0.757,-6.935,0.0542,0.00209,,0.279,0.106,150.041,rap
0.577,0.554,-6.527,0.0363,0.0455,1.16e-06,0.126,,,rap
0.477,0.808,-4.517,0.0561,0.00765,,0.179,,145.07,rap
0.355,0.631,-11.155,,0.0115,0.0,0.0944,0.369,179.766,rap
0.465,0.826,-5.628,0.0846,0.0259,0.000709,0.201,0.338,,rap
0.562,,-3.226,0.0497,0.0399,1.06e-05,0.107,0.292,150.049,rap
0.72,0.823,-1.253,0.0526,0.394,0.0,0.144,0.184,119.969,rap
0.728,,-8.71,0.094,0.552,0.0107,0.109,0.157,94.999,rap
0.496,0.797,,0.184,0.11,,0.25,0.384,150.071,rap
0.592,,-5.781,0.0757,0.0206,0.616,0.221,,,rap
0.792,0.682,-5.293,0.0299,0.128,,0.0793,0.775,93.973,rap
0.467,,-3.487,0.048,0.144,,0.116,0.236,77.962,rap
0.789,0.83,-4.183,0.0751,0.00882,0.00248,0.173,0.443,100.039,rap
0.516,0.783,-9.778,0.242,0.0486,0.0107,0.427,0.396,,rap
0.521,0.809,-5.296,,0.15,1.25e-06,0.199,0.491,149.962,rap
0.467,,-5.458,0.0363,0.0141,0.0,0.111,0.158,150.17,rap
0.399,0.889,-5.738,0.0936,0.113,,0.15,0.416,113.809,rap
0.601,0.557,-6.409,0.0772,0.315,2.33e-06,0.162,0.235,,rap
0.367,0.645,-6.432,0.0408,0.189,0.0,0.105,0.0742,,rap
0.595,,-4.825,0.0821,,0.0,0.217,0.72,145.068,rap
0.562,,-3.29,0.411,0.15,0.146,0.0794,0.397,184.059,rap
0.46,0.903,-2.975,0.201,0.19,0.000216,0.203,,161.767,rap
0.638,0.776,-4.61,0.083,0.0731,1.9e-06,0.18,0.267,,rap
0.76,0.682,-5.566,0.0834,0.264,2.71e-06,0.139,0.889,186.034,rap
0.771,,-5.609,0.199,0.119,2.68e-06,0.104,,159.904,rap
0.771,,-3.504,0.0694,0.18,,0.345,0.931,167.969,rap
0.837,,-4.807,0.113,0.331,1.39e-05,0.203,,94.067,rap
0.835,,-4.916,0.0984,0.219,1.86e-06,,0.457,90.997,rap
0.903,0.634,,0.175,0.396,3.35e-06,,,101.053,rap
0.834,,,0.18,0.553,6.59e-05,,0.858,95.98,rap
,0.886,-3.425,,0.113,0.0,0.296,0.662,175.884,rap
0.816,0.726,-5.334,0.267,0.48,1.41e-06,0.314,0.707,175.933,rap
0.843,,,0.164,0.0948,0.0,0.155,0.541,,rap
0.544,0.572,-6.272,0.147,0.41,0.0,0.115,0.36,,rap
0.707,0.87,-2.958,0.103,0.246,1.97e-06,,0.801,,rap
0.793,,-6.837,0.406,0.0558,,0.322,,,rap
0.8,0.717,-6.354,0.0518,0.153,0.00464,0.166,,95.018,rap
0.694,0.842,-4.91,0.0624,0.147,1.05e-06,0.261,,105.02,rap
0.762,0.829,,0.0889,0.00996,9.35e-05,0.111,0.857,100.064,rap
0.859,0.73,-4.472,0.0634,0.24,1.36e-05,0.0821,0.623,,rap
0.823,0.622,-5.706,0.0491,0.0105,2.69e-06,,,100.022,rap
0.789,0.765,-4.143,0.118,0.49,,0.623,0.491,95.075,rap
0.781,,,0.123,0.229,0.00214,0.164,0.845,170.05,rap
0.796,,-7.532,0.353,0.0581,1.4e-05,0.257,0.881,,rap
0.738,0.783,-4.576,,0.055,0.0,0.125,0.699,,rap
0.744,0.835,-3.356,0.156,0.0434,0.0,0.0911,0.736,173.95,rap
0.777,,,0.0464,0.0929,0.0,0.117,0.34,,rap
0.8,,-3.818,0.29,0.172,2.28e-05,0.112,0.81,188.044,rap
0.792,0.782,-5.201,0.0538,0.0961,0.0,0.142,0.628,92.995,rap
0.666,0.745,-4.892,0.0649,0.196,0.0,0.105,,166.009,rap
0.829,,-6.625,,0.43,1.3e-05,0.0738,0.689,95.065,rap
0.796,,,0.0574,0.286,,0.103,,90.021,rap
0.563,0.783,-7.121,0.281,0.00836,3.97e-06,0.319,,90.118,rap
,0.94,-2.762,,0.0414,,0.161,0.945,89.004,rap
0.853,0.634,,0.414,0.367,0.000724,,0.76,,rap
0.663,,-3.42,0.104,0.0985,0.0,0.45,,174.021,rap
0.582,0.676,-7.707,0.251,0.365,0.0,0.103,,181.435,rap
0.817,,,0.0902,0.186,0.00142,0.291,0.567,99.994,rap
0.826,0.776,-3.442,0.0566,0.0853,0.000318,0.0806,0.618,93.05,rap
0.698,,-6.428,0.105,0.052,,0.144,0.62,169.979,rap
0.6,0.799,-4.624,0.0461,0.282,0.0,0.0968,0.558,177.079,rap
0.807,0.69,-5.491,0.0404,0.251,1.07e-06,,0.144,129.994,rap
0.838,,-3.668,,0.135,4.85e-06,0.116,0.689,155.992,rap
0.719,0.564,,0.106,0.211,0.0,0.671,0.86,,rap
,,-4.645,0.17,0.157,9.19e-06,0.106,0.629,,rap
0.727,0.653,-4.735,0.038,0.0895,0.0,0.0936,0.0389,140.107,rap
0.797,,-7.802,0.0463,0.398,,0.0924,,139.969,rap
,,,,0.0474,,,0.527,,rap
0.933,0.626,-6.848,0.126,0.236,0.0,0.0722,0.543,122.904,rap
0.773,0.86,-4.463,0.0517,0.0369,6.14e-05,0.117,0.48,101.035,rap
0.831,0.79,-5.09,0.0823,0.284,0.000469,0.204,,100.03,rap
0.731,,-8.372,0.0431,0.228,0.000167,0.196,0.506,138.055,rap
0.755,0.729,-5.894,0.0409,0.0458,0.0,,0.427,139.989,rap
0.745,0.612,-4.282,0.0557,0.51,0.161,0.0939,0.619,170.0,rap
0.853,0.86,0.326,0.134,0.0287,0.0,0.0744,0.534,135.95,rap
0.669,0.723,,0.0542,0.265,0.0,0.0788,0.243,130.013,rap
0.685,0.508,-9.223,0.0446,0.0101,0.0,0.0862,0.454,,rap
0.598,0.809,-5.635,0.194,0.0655,0.0,0.792,0.593,114.098,rap
0.463,0.55,-9.747,0.541,0.464,8.21e-06,0.0869,0.359,189.779,rap
0.904,,-5.133,0.214,0.0199,0.0,0.25,,99.853,rap
0.908,,-8.873,0.193,0.256,,0.107,0.349,140.045,rap
0.893,0.327,-9.289,0.117,0.299,0.00017,0.119,0.878,,rap
0.819,,-5.954,0.0957,0.122,0.000213,0.0892,0.554,76.974,rap
0.702,0.586,-6.689,0.0415,0.00476,0.000155,0.0925,0.546,159.975,rap
0.795,0.472,-10.277,0.172,0.366,0.000469,0.0837,0.268,,rap
0.928,0.426,-9.252,0.209,0.119,0.0,0.0842,,137.064,rap
0.896,0.715,-3.37,0.0544,0.195,,0.0678,0.513,,rap
0.82,0.741,-9.159,0.122,0.0902,0.0,0.135,0.429,,rap
0.731,0.696,-6.28,0.141,0.63,5.61e-06,0.103,0.482,,rap
0.675,0.665,,0.0343,0.015,0.0,0.125,0.744,139.939,rap
0.833,0.49,-6.685,0.31,0.115,2.65e-06,0.113,0.376,122.862,rap
0.615,0.471,-7.345,0.175,0.0874,,0.101,0.354,,rap
0.748,,-6.516,0.0979,0.154,3.06e-05,0.196,0.474,81.017,rap
0.676,0.765,-4.612,0.0328,0.271,0.0,0.125,,140.036,rap
,0.855,0.642,,0.0906,0.0,,,123.991,rap
0.854,,-4.49,0.14,0.345,0.0,0.165,0.342,,rap
0.852,,-5.58,,0.0268,0.0,0.0822,0.329,,rap
0.851,0.657,-5.147,0.077,0.0395,0.0,0.123,0.388,140.05,rap
0.816,0.518,-8.292,0.112,0.215,0.0,0.0707,0.62,,rap
0.703,0.376,-17.772,0.0752,0.278,,0.054,0.65,,rap
0.706,,,,,3.47e-06,0.0908,,150.122,rap
0.776,,,0.0604,0.424,1.04e-06,0.201,0.652,140.029,rap
0.851,,,0.0977,0.165,0.0,0.366,0.526,130.071,rap
0.717,0.567,-6.191,0.0608,0.732,0.0,0.103,0.809,140.018,rap
0.82,0.398,-10.151,0.446,0.405,0.0,0.126,0.2,92.04,rap
0.619,0.762,-5.69,0.11,0.471,1.64e-06,0.322,0.351,126.354,rap
0.735,0.656,-6.573,0.0359,0.114,0.0,0.17,0.298,,rap
0.762,0.701,,,0.322,0.0,,0.452,91.076,rap
0.7,,-4.126,0.0351,0.196,0.0,0.258,0.313,129.973,rap
0.768,,,0.2,0.0269,,0.0841,0.209,145.023,rap
0.766,,-5.123,0.041,0.0049,0.0108,0.114,0.113,124.992,rap
0.571,0.94,-3.638,0.092,0.0115,0.0128,0.583,0.537,149.924,rap
0.392,,-4.764,0.0533,0.0839,0.884,,0.0621,,rap
,0.869,-6.179,0.0902,0.344,0.922,0.103,0.111,85.179,rap
0.547,,,0.0677,0.0125,,0.536,0.352,155.027,rap
0.701,,-2.222,0.132,0.00142,0.00855,0.0594,0.227,150.067,rap
0.723,0.912,,0.329,0.0358,0.00114,0.218,,,rap
0.634,0.925,-3.494,0.0732,0.0079,0.723,0.0897,,150.079,rap
0.566,0.964,-4.41,0.0793,0.00306,0.837,0.271,0.202,150.003,rap
0.718,0.779,-4.778,0.0486,0.00556,0.714,0.147,0.0681,,rap
,,-6.386,0.0789,0.182,0.712,0.101,0.7,172.062,rap
0.703,0.661,-7.359,0.0408,0.0112,0.836,0.118,0.11,,rap
,0.828,-5.715,0.0423,0.000552,0.689,0.11,0.0696,82.004,rap
0.642,0.933,-2.887,0.0871,0.0657,1.04e-05,0.087,0.158,150.039,rap
0.506,,-8.411,0.126,0.198,,0.101,0.12,147.879,rap
0.609,0.866,-6.51,0.0892,0.0927,0.01,0.179,0.0982,149.937,rap
0.633,,-5.847,0.345,0.00495,0.12,0.29,0.62,74.943,rap
,,-6.582,0.0732,0.0462,0.794,0.327,,81.99,rap
0.806,,-5.07,0.413,0.117,0.0949,0.148,0.451,153.965,rap
0.681,0.7,-5.104,,0.00696,0.528,0.17,,139.694,rap
0.474,0.708,-4.494,0.168,0.0496,4.43e-05,0.0986,0.328,,rap
0.588,0.779,-4.284,0.107,,,0.371,0.264,150.015,rap
0.576,0.889,-1.326,0.112,0.0105,,0.122,,149.945,rap
0.59,0.988,-2.039,0.0834,0.00481,,0.28,0.28,150.963,rap
0.591,0.887,-7.034,0.182,0.0244,,0.586,0.141,140.043,rap
,,,0.104,0.0162,5.94e-05,0.153,0.432,,rap
,0.728,-5.381,,0.00965,0.00162,0.0917,0.253,150.048,rap
,0.806,,0.192,0.271,0.817,,0.785,,rap
0.347,0.663,,0.0498,0.0132,0.746,0.204,0.0532,139.902,rap
0.565,0.787,-8.491,,0.00237,7.18e-06,0.0625,0.334,175.209,rap
0.515,0.801,-5.99,0.0329,0.0153,0.624,0.0876,0.0615,150.135,rap
0.728,,,0.0406,0.0439,,,0.171,150.044,rap
0.844,0.752,,,0.0157,0.000191,0.339,0.58,97.005,rap
0.632,,-1.512,0.293,0.00242,0.469,0.634,0.189,,rap
0.755,,-3.61,,0.0617,0.0,0.17,0.318,,rap
0.601,0.825,,0.0427,0.0641,7.81e-06,0.0787,0.317,,rap
0.457,0.987,-4.488,0.112,0.00614,0.971,0.0617,0.398,137.03,rap
0.674,,,0.0424,0.389,,0.103,0.28,,rap
0.668,0.943,-2.901,0.114,0.00961,0.111,0.11,0.255,159.929,rap
0.664,0.927,-3.498,0.14,0.0559,2.66e-05,0.103,0.874,160.042,rap
0.578,,,0.14,0.202,0.718,0.0676,,160.301,rap
0.659,0.454,-7.189,0.337,0.022,,0.328,0.196,75.036,rap
0.7,,-5.771,0.14,0.126,0.185,0.0861,0.282,,rap
0.569,0.757,-7.364,0.124,0.0317,0.00163,0.112,0.219,150.134,rap
0.559,,,0.0554,0.00185,0.667,0.0585,0.0399,149.977,rap
0.224,0.644,-7.276,0.0386,0.00407,0.252,0.537,0.0387,,rap
0.639,0.893,-4.949,0.311,0.0796,,0.103,,154.971,rap
0.532,0.956,-0.902,0.591,0.0117,0.0,0.0528,0.613,,rap
0.524,0.626,,0.0597,0.000554,0.000124,0.385,0.195,,rap
0.767,,-13.413,0.185,0.00942,0.361,0.0753,0.48,160.016,rap
0.563,,-10.136,0.143,0.0613,0.928,0.479,0.125,149.964,rap
0.59,0.965,,0.0548,0.0147,0.163,0.12,0.386,,rap
0.707,0.564,-10.141,0.067,0.0462,0.441,0.137,0.238,80.042,rap
,0.949,-4.074,0.0595,0.00122,0.00455,0.104,0.169,160.022,rap
0.646,0.854,,0.459,0.0311,,0.0505,0.577,159.876,rap
,0.631,,0.0309,0.00084,0.88,0.143,,130.03,rap
0.535,0.794,-6.694,0.13,0.00261,0.15,0.166,,154.952,rap
0.732,0.695,-8.341,0.116,0.194,0.845,0.375,,139.981,rap
0.584,,-5.077,0.14,0.0174,2.26e-05,,0.289,140.042,rap
,0.986,-2.252,0.289,0.175,0.0731,0.155,0.504,160.01,rap
0.576,0.867,-6.211,0.305,0.00508,,,0.423,,rap
0.61,0.974,-3.274,0.355,0.0088,0.0,0.3,0.479,149.999,rap
0.62,0.951,,0.0877,0.00175,0.0302,0.113,0.495,127.992,rap
,0.934,,0.0554,0.0179,0.0704,0.221,0.301,,rap
0.455,,,0.453,0.0702,0.39,,0.0511,151.332,rap
0.592,0.577,-9.78,0.0499,0.0018,0.813,0.0938,0.117,,rap
,0.761,-4.959,0.0445,0.0138,0.00368,0.107,0.275,145.008,rap
0.707,0.786,-6.467,0.053,0.0271,0.861,0.0929,0.251,150.007,rap
0.485,,-7.308,,0.000699,,0.216,0.0682,150.325,rap
0.52,0.958,-5.331,0.109,0.00626,0.827,0.127,0.519,160.033,rap
0.409,,-5.679,0.0454,0.000104,0.695,0.185,0.0531,139.93,rap
0.858,,-6.97,0.102,0.0179,0.707,,,140.02,rap
0.602,,-4.535,0.143,0.0105,0.881,0.35,,148.907,rap
0.565,,,0.0325,0.00874,0.00016,0.099,0.0399,,rap
0.49,0.939,-6.004,0.0419,0.00123,0.0501,0.179,,159.983,rap
0.466,,-5.327,0.0512,0.000183,0.0,0.0998,,145.116,rap
0.718,,,0.222,0.0985,6.98e-05,0.131,0.11,144.889,rap
0.717,,-6.463,0.132,0.00253,0.00015,0.439,0.669,144.919,rap
0.505,0.908,-5.254,0.0483,0.00657,0.00185,0.516,0.711,156.045,rap
0.604,0.789,-2.437,0.137,0.0104,,0.338,0.563,135.02,rap
0.579,0.754,-3.932,0.432,0.121,0.000623,0.309,0.448,147.724,rap
0.503,0.852,,0.129,0.0876,0.78,0.119,,144.963,rap
,0.975,-5.855,,0.000501,,0.21,0.539,,rap
0.446,0.993,-3.171,0.455,0.00637,,0.0589,0.243,165.092,rap
0.664,,-1.344,0.0838,0.0367,0.182,0.386,0.233,149.969,rap
0.716,0.949,-3.592,0.0762,0.00389,0.00455,0.373,0.71,110.013,rap
0.724,,-6.539,0.149,0.00272,0.499,,,149.926,rap
0.63,0.851,-4.61,0.319,0.00441,0.0218,0.0939,0.573,150.054,rap
,0.912,-3.196,0.14,0.00184,0.0149,,0.581,145.026,rap
0.681,,,0.199,0.0268,0.0983,0.0623,0.625,,rap
,0.951,-3.162,0.408,0.00702,0.000494,0.355,0.214,144.833,rap
0.635,0.192,,,0.384,0.629,0.377,0.0376,130.038,rap
0.631,0.877,-4.072,0.0345,0.00837,1.09e-05,0.204,,150.162,rap
0.783,0.836,-4.039,0.0793,0.0208,,0.207,0.687,,rap
0.613,,,0.0729,0.00908,1.66e-06,0.108,0.497,,rap
0.715,0.932,,0.092,0.0169,,0.0798,0.671,150.029,rap
0.552,0.639,-7.42,0.0272,0.00411,,,0.168,142.031,rap
0.637,0.919,-3.643,0.0627,0.0318,2.78e-06,0.275,0.643,149.968,rap
0.58,0.901,-0.958,0.0326,0.0052,0.698,0.111,,142.031,rap
0.879,,-12.8,0.127,0.422,,0.115,0.438,114.987,rap
0.637,0.63,-5.638,0.0912,0.496,0.0,0.109,0.577,106.065,rap
0.842,0.696,-3.748,0.207,0.179,0.0,0.101,0.609,,rap
0.46,0.707,-7.674,0.257,0.221,0.0,0.0897,,169.851,rap
0.937,,-10.954,0.142,0.189,0.0,0.0895,,104.009,rap
0.895,0.83,-3.929,0.332,0.24,,0.108,0.709,124.979,rap
0.93,0.638,-5.775,0.0821,0.0299,,0.0942,0.434,120.055,rap
0.775,0.436,-9.611,0.297,0.355,6.92e-06,,0.303,,rap
0.785,,-8.208,,0.282,0.0,0.11,0.181,,rap
0.749,,-7.389,0.202,0.293,0.0,0.0736,0.349,125.029,rap
0.788,0.447,-10.443,0.329,0.635,0.0,0.105,,74.981,rap
0.761,0.637,-7.04,,0.327,0.0,0.0812,,109.964,rap
0.704,0.499,,0.082,0.814,0.000167,0.153,0.348,139.969,rap
,,-14.252,,0.203,0.0,0.0746,0.409,,rap
0.647,0.795,-5.28,,0.34,0.0,0.384,0.51,154.939,rap
0.909,0.538,-10.117,0.0456,0.471,0.00233,0.11,0.74,111.958,rap
0.745,,,,0.387,5.67e-05,0.148,0.444,146.056,rap
0.749,0.85,-5.026,0.397,0.202,0.0,0.0421,0.331,,rap
0.884,,,0.072,0.251,1.43e-05,,0.479,,rap
0.866,0.555,-7.292,0.0743,0.187,0.0,0.0566,0.455,,rap
0.809,0.584,-5.325,0.424,0.619,0.00339,0.112,,142.24,rap
0.899,0.47,-11.451,0.0903,0.0452,3.88e-06,0.0412,,96.023,rap
0.773,0.677,,0.346,0.421,0.0,0.0893,0.335,154.928,rap
0.826,0.526,-5.841,0.0928,0.377,,0.136,,116.03,rap
0.887,0.828,-6.179,0.114,0.533,0.113,0.153,,125.998,rap
,0.708,-7.417,0.0589,0.246,,0.166,0.278,110.035,rap
0.933,0.331,,0.244,0.168,,0.0959,0.555,,rap
0.508,0.717,,0.186,0.0268,0.0,0.175,0.209,96.591,rap
0.857,0.495,-9.55,0.264,0.0167,0.000164,,0.267,128.898,rap
0.875,0.488,,0.32,0.114,,0.106,,91.986,rap
0.687,0.545,-6.526,0.0466,,0.0,0.156,0.351,82.628,rap
0.756,0.597,,0.0496,0.0176,0.0,0.186,0.547,136.016,rap
0.884,0.645,-10.209,0.149,0.324,0.00344,0.156,,130.087,rap
0.931,0.443,,0.257,0.409,,0.0873,0.644,120.01,rap
0.739,0.354,-13.433,0.141,0.484,4.25e-05,0.118,0.576,98.958,rap
0.699,,-11.035,0.0515,0.659,,0.123,0.36,150.055,rap
0.877,0.452,,0.147,0.11,0.0,0.0849,,,rap
0.865,0.638,,,0.106,0.00055,0.112,0.321,135.996,rap
0.869,,-9.774,,0.635,0.0,0.0983,0.515,139.978,rap
0.573,0.372,,0.402,0.568,0.00545,0.0884,,144.674,rap
0.784,,,0.0523,0.492,0.0,0.153,0.411,130.039,rap
0.905,0.616,-7.842,0.0657,0.0534,0.000185,,0.414,134.077,rap
0.758,,,0.0758,0.268,0.0,0.162,,134.998,rap
0.848,0.767,-7.947,0.48,0.129,,0.0914,0.945,99.824,rap
0.48,0.511,-7.709,0.199,0.316,0.0,0.215,,,rap
